Ma_Don_Hang,Ngay_Dat_Hang,DanhMuc,So_Luong,Don_Gia,Trang_Thai,Thanh_Pho,Doanh_Thu,Thang,Thang_Nam
DH517,2025-02-13,Gia dụng,9,3623000,Hoàn thành,Đà Nẵng,32607000,2,2025-02
DH161,2025-02-14,Sách,10,539000,Hoàn thành,Đà Nẵng,5390000,2,2025-02
DH708,2025-02-15,Điện tử,7,4720000,Hoàn thành,TP.HCM,33040000,2,2025-02
DH471,2025-02-16,Thời trang,3,3262000,Hoàn thành,Đà Nẵng,9786000,2,2025-02
DH673,2025-02-16,Điện tử,5,3401000,Hoàn thành,Đà Nẵng,17005000,2,2025-02
DH422,2025-02-16,Sách,3,1459000,Hoàn thành,TP.HCM,4377000,2,2025-02
DH453,2025-02-17,Sách,4,2431000,Đang giao,Hà Nội,9724000,2,2025-02
DH116,2025-02-17,Thời trang,9,2372000,Hoàn thành,Hà Nội,21348000,2,2025-02
DH030,2025-02-18,Sách,3,3709000,Hoàn thành,Cần Thơ,11127000,2,2025-02
DH329,2025-02-18,Điện tử,7,2214000,Hoàn thành,Hà Nội,15498000,2,2025-02
DH062,2025-02-19,Sách,1,1633000,Hoàn thành,Hà Nội,1633000,2,2025-02
DH757,2025-02-20,Gia dụng,2,2464000,Hoàn thành,Cần Thơ,4928000,2,2025-02
DH037,2025-02-20,Sách,5,3315000,Hoàn thành,TP.HCM,16575000,2,2025-02
DH395,2025-02-20,Thời trang,8,2720000,Đang giao,Hà Nội,21760000,2,2025-02
DH314,2025-02-20,Điện tử,10,1315000,Hoàn thành,TP.HCM,13150000,2,2025-02
DH143,2025-02-21,Điện tử,8,2372000,Hoàn thành,Hà Nội,18976000,2,2025-02
DH198,2025-02-21,Thời trang,9,3486000,Hoàn thành,Hà Nội,31374000,2,2025-02
DH055,2025-02-22,Điện tử,2,1796000,Hoàn thành,Hà Nội,3592000,2,2025-02
DH413,2025-02-22,Sách,6,3966000,Hoàn thành,Đà Nẵng,23796000,2,2025-02
DH749,2025-02-22,Điện tử,6,4369000,Hoàn thành,Cần Thơ,26214000,2,2025-02
DH582,2025-02-22,Gia dụng,1,2326000,Hoàn thành,Hà Nội,2326000,2,2025-02
DH086,2025-02-22,Gia dụng,2,3382000,Hoàn thành,Đà Nẵng,6764000,2,2025-02
DH216,2025-02-22,Sách,10,2369000,Hoàn thành,Cần Thơ,23690000,2,2025-02
DH210,2025-02-23,Sách,5,1102000,Hoàn thành,Đà Nẵng,5510000,2,2025-02
DH774,2025-02-23,Sách,10,362000,Hoàn thành,Cần Thơ,3620000,2,2025-02
DH278,2025-02-23,Điện tử,2,1718000,Hoàn thành,Đà Nẵng,3436000,2,2025-02
DH065,2025-02-23,Thời trang,5,3948000,Hoàn thành,Đà Nẵng,19740000,2,2025-02
DH039,2025-02-24,Gia dụng,1,4255000,Hoàn thành,Cần Thơ,4255000,2,2025-02
DH585,2025-02-26,Thời trang,10,1000000,Hoàn thành,Cần Thơ,10000000,2,2025-02
DH437,2025-02-27,Thời trang,5,4432000,Hoàn thành,Cần Thơ,22160000,2,2025-02
DH656,2025-02-27,Gia dụng,10,895000,Hoàn thành,Đà Nẵng,8950000,2,2025-02
DH445,2025-02-27,Thời trang,1,4487000,Hoàn thành,TP.HCM,4487000,2,2025-02
DH357,2025-02-27,Sách,9,1166000,Hoàn thành,Hà Nội,10494000,2,2025-02
DH263,2025-03-01,Thời trang,6,2666000,Hoàn thành,Cần Thơ,15996000,3,2025-03
DH414,2025-03-01,Sách,10,3337000,Hoàn thành,TP.HCM,33370000,3,2025-03
DH162,2025-03-03,Gia dụng,3,338000,Đang giao,Hà Nội,1014000,3,2025-03
DH562,2025-03-03,Gia dụng,8,2815000,Hoàn thành,TP.HCM,22520000,3,2025-03
DH117,2025-03-03,Gia dụng,10,3925000,Hoàn thành,Cần Thơ,39250000,3,2025-03
DH732,2025-03-04,Gia dụng,10,323000,Hoàn thành,Hà Nội,3230000,3,2025-03
DH398,2025-03-04,Thời trang,9,536000,Hoàn thành,Hà Nội,4824000,3,2025-03
DH139,2025-03-04,Sách,5,3910000,Đang giao,Cần Thơ,19550000,3,2025-03
DH724,2025-03-06,Sách,10,2686000,Hoàn thành,Đà Nẵng,26860000,3,2025-03
DH513,2025-03-06,Gia dụng,3,4496000,Hoàn thành,Đà Nẵng,13488000,3,2025-03
DH785,2025-03-07,Điện tử,6,4224000,Hoàn thành,Hà Nội,25344000,3,2025-03
DH159,2025-03-07,Thời trang,9,3145000,Hoàn thành,TP.HCM,28305000,3,2025-03
DH459,2025-03-10,Điện tử,9,2297000,Đang giao,Đà Nẵng,20673000,3,2025-03
DH579,2025-03-10,Điện tử,5,493000,Đang giao,Đà Nẵng,2465000,3,2025-03
DH628,2025-03-11,Gia dụng,6,4002000,Hoàn thành,TP.HCM,24012000,3,2025-03
DH765,2025-03-13,Thời trang,7,472000,Đang giao,Đà Nẵng,3304000,3,2025-03
DH603,2025-03-15,Gia dụng,10,3064000,Hoàn thành,Đà Nẵng,30640000,3,2025-03
DH536,2025-03-16,Gia dụng,2,3687000,Hoàn thành,TP.HCM,7374000,3,2025-03
DH786,2025-03-16,Điện tử,9,3323000,Hoàn thành,Hà Nội,29907000,3,2025-03
DH463,2025-03-17,Điện tử,2,4313000,Hoàn thành,Cần Thơ,8626000,3,2025-03
DH571,2025-03-17,Điện tử,7,339000,Hoàn thành,Hà Nội,2373000,3,2025-03
DH755,2025-03-19,Gia dụng,9,1375000,Hoàn thành,TP.HCM,12375000,3,2025-03
DH664,2025-03-21,Điện tử,2,3539000,Hoàn thành,Hà Nội,7078000,3,2025-03
DH204,2025-03-22,Gia dụng,6,2571000,Hoàn thành,Đà Nẵng,15426000,3,2025-03
DH104,2025-03-22,Gia dụng,3,1300000,Hoàn thành,TP.HCM,3900000,3,2025-03
DH711,2025-03-23,Điện tử,5,3282000,Hoàn thành,Cần Thơ,16410000,3,2025-03
DH752,2025-03-24,Điện tử,7,2417000,Đang giao,TP.HCM,16919000,3,2025-03
DH563,2025-03-25,Gia dụng,2,638000,Hoàn thành,TP.HCM,1276000,3,2025-03
DH754,2025-03-26,Điện tử,9,3062000,Hoàn thành,Đà Nẵng,27558000,3,2025-03
DH157,2025-03-27,Điện tử,9,2204000,Hoàn thành,Cần Thơ,19836000,3,2025-03
DH466,2025-03-27,Thời trang,2,2688000,Hoàn thành,TP.HCM,5376000,3,2025-03
DH012,2025-03-29,Sách,4,4051000,Hoàn thành,Cần Thơ,16204000,3,2025-03
DH454,2025-03-30,Sách,4,1927000,Hoàn thành,Đà Nẵng,7708000,3,2025-03
DH049,2025-03-30,Sách,7,2707000,Hoàn thành,TP.HCM,18949000,3,2025-03
DH530,2025-03-31,Thời trang,1,4128000,Đang giao,Cần Thơ,4128000,3,2025-03
DH527,2025-03-31,Điện tử,5,3088000,Hoàn thành,Hà Nội,15440000,3,2025-03
DH692,2025-03-31,Sách,7,493000,Hoàn thành,TP.HCM,3451000,3,2025-03
DH634,2025-04-01,Gia dụng,7,3351000,Hoàn thành,Đà Nẵng,23457000,4,2025-04
DH436,2025-04-02,Gia dụng,6,4885000,Hoàn thành,Hà Nội,29310000,4,2025-04
DH057,2025-04-02,Gia dụng,10,4280000,Hoàn thành,Đà Nẵng,42800000,4,2025-04
DH389,2025-04-02,Sách,10,4151000,Hoàn thành,TP.HCM,41510000,4,2025-04
DH529,2025-04-03,Sách,5,4201000,Hoàn thành,TP.HCM,21005000,4,2025-04
DH472,2025-04-04,Sách,3,3078000,Hoàn thành,TP.HCM,9234000,4,2025-04
DH520,2025-04-05,Gia dụng,4,4524000,Đang giao,Hà Nội,18096000,4,2025-04
DH764,2025-04-05,Gia dụng,6,902000,Hoàn thành,Hà Nội,5412000,4,2025-04
DH343,2025-04-05,Điện tử,9,2590000,Hoàn thành,TP.HCM,23310000,4,2025-04
DH450,2025-04-06,Sách,8,4052000,Hoàn thành,Đà Nẵng,32416000,4,2025-04
DH144,2025-04-06,Gia dụng,8,187000,Đang giao,Hà Nội,1496000,4,2025-04
DH494,2025-04-06,Điện tử,7,855000,Đang giao,Cần Thơ,5985000,4,2025-04
DH321,2025-04-07,Điện tử,2,1278000,Hoàn thành,TP.HCM,2556000,4,2025-04
DH234,2025-04-07,Gia dụng,7,3518000,Hoàn thành,Cần Thơ,24626000,4,2025-04
DH738,2025-04-08,Sách,1,3620000,Hoàn thành,Cần Thơ,3620000,4,2025-04
DH793,2025-04-08,Gia dụng,8,2820000,Hoàn thành,Hà Nội,22560000,4,2025-04
DH230,2025-04-08,Gia dụng,5,2370000,Đang giao,Đà Nẵng,11850000,4,2025-04
DH545,2025-04-09,Điện tử,6,1487000,Hoàn thành,Cần Thơ,8922000,4,2025-04
DH120,2025-04-09,Gia dụng,4,301000,Hoàn thành,TP.HCM,1204000,4,2025-04
DH580,2025-04-09,Thời trang,6,71000,Hoàn thành,TP.HCM,426000,4,2025-04
DH336,2025-04-09,Gia dụng,9,1235000,Hoàn thành,TP.HCM,11115000,4,2025-04
DH740,2025-04-09,Thời trang,2,3333000,Đang giao,Cần Thơ,6666000,4,2025-04
DH272,2025-04-09,Điện tử,10,2950000,Hoàn thành,Hà Nội,29500000,4,2025-04
DH289,2025-04-09,Gia dụng,10,2018000,Hoàn thành,Cần Thơ,20180000,4,2025-04
DH257,2025-04-09,Gia dụng,3,653000,Hoàn thành,Hà Nội,1959000,4,2025-04
DH488,2025-04-10,Gia dụng,5,2459000,Hoàn thành,Hà Nội,12295000,4,2025-04
DH013,2025-04-10,Thời trang,1,2438000,Hoàn thành,Hà Nội,2438000,4,2025-04
DH569,2025-04-10,Thời trang,2,2951000,Hoàn thành,TP.HCM,5902000,4,2025-04
DH510,2025-04-11,Gia dụng,4,1562000,Hoàn thành,Cần Thơ,6248000,4,2025-04
DH126,2025-04-11,Gia dụng,2,1971000,Hoàn thành,TP.HCM,3942000,4,2025-04
DH411,2025-04-11,Điện tử,6,2840000,Hoàn thành,Hà Nội,17040000,4,2025-04
DH202,2025-04-11,Gia dụng,2,1478000,Hoàn thành,Hà Nội,2956000,4,2025-04
DH787,2025-04-13,Gia dụng,7,138000,Hoàn thành,TP.HCM,966000,4,2025-04
DH008,2025-04-13,Gia dụng,4,2601000,Hoàn thành,Đà Nẵng,10404000,4,2025-04
DH417,2025-04-13,Gia dụng,10,4208000,Hoàn thành,Đà Nẵng,42080000,4,2025-04
DH001,2025-04-13,Điện tử,8,3794000,Hoàn thành,Cần Thơ,30352000,4,2025-04
DH284,2025-04-14,Sách,1,76000,Hoàn thành,Cần Thơ,76000,4,2025-04
DH369,2025-04-14,Sách,6,1790000,Đang giao,Đà Nẵng,10740000,4,2025-04
DH532,2025-04-15,Sách,8,738000,Hoàn thành,Hà Nội,5904000,4,2025-04
DH739,2025-04-15,Điện tử,7,2993000,Hoàn thành,TP.HCM,20951000,4,2025-04
DH429,2025-04-16,Thời trang,5,3634000,Hoàn thành,TP.HCM,18170000,4,2025-04
DH066,2025-04-16,Điện tử,6,3032000,Đang giao,Cần Thơ,18192000,4,2025-04
DH004,2025-04-17,Sách,5,4516000,Hoàn thành,TP.HCM,22580000,4,2025-04
DH166,2025-04-18,Sách,5,2340000,Hoàn thành,TP.HCM,11700000,4,2025-04
DH415,2025-04-18,Điện tử,3,3253000,Hoàn thành,Hà Nội,9759000,4,2025-04
DH587,2025-04-19,Điện tử,2,2805000,Hoàn thành,Hà Nội,5610000,4,2025-04
DH262,2025-04-22,Điện tử,5,4689000,Hoàn thành,Đà Nẵng,23445000,4,2025-04
DH779,2025-04-22,Điện tử,1,2370000,Hoàn thành,Cần Thơ,2370000,4,2025-04
DH288,2025-04-22,Thời trang,7,1569000,Hoàn thành,TP.HCM,10983000,4,2025-04
DH201,2025-04-23,Sách,5,4963000,Hoàn thành,Cần Thơ,24815000,4,2025-04
DH196,2025-04-23,Gia dụng,2,647000,Hoàn thành,Cần Thơ,1294000,4,2025-04
DH203,2025-04-23,Điện tử,8,1151000,Hoàn thành,TP.HCM,9208000,4,2025-04
DH206,2025-04-23,Gia dụng,5,4146000,Hoàn thành,Hà Nội,20730000,4,2025-04
DH283,2025-04-23,Gia dụng,7,3809000,Hoàn thành,Đà Nẵng,26663000,4,2025-04
DH362,2025-04-24,Thời trang,6,716000,Hoàn thành,TP.HCM,4296000,4,2025-04
DH535,2025-04-24,Điện tử,4,256000,Hoàn thành,TP.HCM,1024000,4,2025-04
DH531,2025-04-25,Điện tử,1,4373000,Đang giao,TP.HCM,4373000,4,2025-04
DH346,2025-04-26,Gia dụng,5,4790000,Đang giao,TP.HCM,23950000,4,2025-04
DH281,2025-04-26,Điện tử,3,1668000,Hoàn thành,Hà Nội,5004000,4,2025-04
DH178,2025-04-26,Thời trang,2,1776000,Hoàn thành,Hà Nội,3552000,4,2025-04
DH654,2025-04-27,Sách,6,4465000,Hoàn thành,Cần Thơ,26790000,4,2025-04
DH440,2025-04-27,Sách,3,4760000,Hoàn thành,Cần Thơ,14280000,4,2025-04
DH770,2025-04-28,Sách,3,1570000,Hoàn thành,TP.HCM,4710000,4,2025-04
DH452,2025-04-28,Sách,5,3465000,Hoàn thành,Cần Thơ,17325000,4,2025-04
DH722,2025-04-29,Gia dụng,8,2872000,Hoàn thành,Cần Thơ,22976000,4,2025-04
DH279,2025-04-30,Điện tử,2,4957000,Hoàn thành,Cần Thơ,9914000,4,2025-04
DH433,2025-04-30,Thời trang,6,4983000,Hoàn thành,TP.HCM,29898000,4,2025-04
DH009,2025-05-02,Điện tử,4,3177000,Đang giao,Đà Nẵng,12708000,5,2025-05
DH689,2025-05-02,Điện tử,9,2726000,Hoàn thành,Đà Nẵng,24534000,5,2025-05
DH612,2025-05-02,Thời trang,5,966000,Hoàn thành,Cần Thơ,4830000,5,2025-05
DH592,2025-05-02,Gia dụng,8,464000,Hoàn thành,Cần Thơ,3712000,5,2025-05
DH225,2025-05-03,Thời trang,3,1105000,Hoàn thành,TP.HCM,3315000,5,2025-05
DH236,2025-05-04,Sách,10,3625000,Hoàn thành,Cần Thơ,36250000,5,2025-05
DH428,2025-05-04,Gia dụng,7,2693000,Hoàn thành,Cần Thơ,18851000,5,2025-05
DH400,2025-05-05,Gia dụng,9,1207000,Hoàn thành,Hà Nội,10863000,5,2025-05
DH644,2025-05-06,Gia dụng,3,1256000,Hoàn thành,TP.HCM,3768000,5,2025-05
DH639,2025-05-06,Sách,1,3293000,Hoàn thành,Đà Nẵng,3293000,5,2025-05
DH214,2025-05-06,Thời trang,8,2761000,Hoàn thành,Cần Thơ,22088000,5,2025-05
DH366,2025-05-07,Sách,1,3285000,Hoàn thành,Hà Nội,3285000,5,2025-05
DH352,2025-05-08,Gia dụng,8,2839000,Hoàn thành,Hà Nội,22712000,5,2025-05
DH305,2025-05-08,Điện tử,5,1286000,Hoàn thành,Đà Nẵng,6430000,5,2025-05
DH100,2025-05-09,Điện tử,1,4882000,Hoàn thành,TP.HCM,4882000,5,2025-05
DH253,2025-05-09,Thời trang,2,3059000,Hoàn thành,Đà Nẵng,6118000,5,2025-05
DH444,2025-05-09,Thời trang,6,3512000,Hoàn thành,Hà Nội,21072000,5,2025-05
DH208,2025-05-10,Sách,2,1294000,Đang giao,Cần Thơ,2588000,5,2025-05
DH215,2025-05-10,Sách,3,4797000,Hoàn thành,Cần Thơ,14391000,5,2025-05
DH127,2025-05-11,Sách,4,4304000,Hoàn thành,Cần Thơ,17216000,5,2025-05
DH042,2025-05-11,Sách,7,2665000,Hoàn thành,Cần Thơ,18655000,5,2025-05
DH276,2025-05-11,Điện tử,10,162000,Hoàn thành,TP.HCM,1620000,5,2025-05
DH016,2025-05-11,Thời trang,10,3546000,Hoàn thành,TP.HCM,35460000,5,2025-05
DH626,2025-05-12,Thời trang,1,4638000,Hoàn thành,Cần Thơ,4638000,5,2025-05
DH745,2025-05-13,Thời trang,1,3061000,Hoàn thành,TP.HCM,3061000,5,2025-05
DH163,2025-05-14,Thời trang,8,4799000,Hoàn thành,Đà Nẵng,38392000,5,2025-05
DH655,2025-05-14,Thời trang,5,1456000,Hoàn thành,Cần Thơ,7280000,5,2025-05
DH111,2025-05-15,Thời trang,4,1014000,Hoàn thành,Đà Nẵng,4056000,5,2025-05
DH044,2025-05-15,Sách,8,2032000,Hoàn thành,Hà Nội,16256000,5,2025-05
DH303,2025-05-15,Gia dụng,1,4163000,Hoàn thành,TP.HCM,4163000,5,2025-05
DH693,2025-05-16,Gia dụng,7,3567000,Hoàn thành,Hà Nội,24969000,5,2025-05
DH101,2025-05-16,Sách,10,2682000,Hoàn thành,Hà Nội,26820000,5,2025-05
DH618,2025-05-16,Gia dụng,6,2010000,Hoàn thành,TP.HCM,12060000,5,2025-05
DH103,2025-05-19,Gia dụng,7,4267000,Hoàn thành,Cần Thơ,29869000,5,2025-05
DH641,2025-05-21,Sách,3,1077000,Hoàn thành,Hà Nội,3231000,5,2025-05
DH608,2025-05-21,Gia dụng,1,3674000,Hoàn thành,Hà Nội,3674000,5,2025-05
DH387,2025-05-22,Điện tử,7,3784000,Hoàn thành,Đà Nẵng,26488000,5,2025-05
DH148,2025-05-23,Sách,4,1669000,Hoàn thành,Hà Nội,6676000,5,2025-05
DH677,2025-05-23,Gia dụng,4,1203000,Hoàn thành,Hà Nội,4812000,5,2025-05
DH388,2025-05-23,Thời trang,10,154000,Hoàn thành,Cần Thơ,1540000,5,2025-05
DH681,2025-05-24,Gia dụng,8,1790000,Hoàn thành,TP.HCM,14320000,5,2025-05
DH465,2025-05-24,Gia dụng,2,3078000,Hoàn thành,Đà Nẵng,6156000,5,2025-05
DH426,2025-05-24,Điện tử,4,4188000,Hoàn thành,Đà Nẵng,16752000,5,2025-05
DH584,2025-05-24,Thời trang,7,3902000,Đang giao,Hà Nội,27314000,5,2025-05
DH260,2025-05-24,Gia dụng,9,2039000,Hoàn thành,Hà Nội,18351000,5,2025-05
DH233,2025-05-24,Thời trang,6,3969000,Hoàn thành,Đà Nẵng,23814000,5,2025-05
DH432,2025-05-25,Thời trang,2,2275000,Hoàn thành,TP.HCM,4550000,5,2025-05
DH703,2025-05-25,Gia dụng,7,1673000,Hoàn thành,Đà Nẵng,11711000,5,2025-05
DH753,2025-05-25,Gia dụng,10,1279000,Hoàn thành,Đà Nẵng,12790000,5,2025-05
DH622,2025-05-25,Gia dụng,2,4276000,Hoàn thành,Đà Nẵng,8552000,5,2025-05
DH599,2025-05-26,Gia dụng,3,1306000,Hoàn thành,Đà Nẵng,3918000,5,2025-05
DH493,2025-05-27,Gia dụng,8,2450000,Hoàn thành,Cần Thơ,19600000,5,2025-05
DH244,2025-05-27,Điện tử,2,251000,Hoàn thành,Hà Nội,502000,5,2025-05
DH671,2025-05-27,Điện tử,3,3852000,Hoàn thành,Hà Nội,11556000,5,2025-05
DH431,2025-05-27,Sách,3,2177000,Hoàn thành,Cần Thơ,6531000,5,2025-05
DH273,2025-05-27,Sách,6,1420000,Hoàn thành,Đà Nẵng,8520000,5,2025-05
DH241,2025-05-28,Sách,10,3814000,Hoàn thành,TP.HCM,38140000,5,2025-05
DH663,2025-05-29,Sách,6,4679000,Hoàn thành,Đà Nẵng,28074000,5,2025-05
DH401,2025-05-30,Gia dụng,7,2999000,Hoàn thành,TP.HCM,20993000,5,2025-05
DH017,2025-05-30,Điện tử,2,4998000,Hoàn thành,Cần Thơ,9996000,5,2025-05
DH583,2025-05-31,Thời trang,7,2304000,Hoàn thành,TP.HCM,16128000,5,2025-05
DH365,2025-05-31,Gia dụng,9,3760000,Đang giao,Hà Nội,33840000,5,2025-05
DH255,2025-05-31,Thời trang,3,2063000,Hoàn thành,Hà Nội,6189000,5,2025-05
DH190,2025-06-01,Thời trang,9,1743000,Hoàn thành,TP.HCM,15687000,6,2025-06
DH277,2025-06-01,Gia dụng,8,1031000,Hoàn thành,Cần Thơ,8248000,6,2025-06
DH548,2025-06-01,Điện tử,5,1621000,Hoàn thành,Cần Thơ,8105000,6,2025-06
DH015,2025-06-01,Điện tử,9,4230000,Hoàn thành,Cần Thơ,38070000,6,2025-06
DH290,2025-06-02,Điện tử,2,2554000,Hoàn thành,TP.HCM,5108000,6,2025-06
DH396,2025-06-02,Điện tử,3,3612000,Hoàn thành,Cần Thơ,10836000,6,2025-06
DH767,2025-06-03,Điện tử,1,4704000,Hoàn thành,Hà Nội,4704000,6,2025-06
DH464,2025-06-03,Sách,4,2797000,Hoàn thành,Đà Nẵng,11188000,6,2025-06
DH367,2025-06-04,Thời trang,9,2817000,Hoàn thành,TP.HCM,25353000,6,2025-06
DH687,2025-06-05,Sách,4,4070000,Hoàn thành,TP.HCM,16280000,6,2025-06
DH333,2025-06-07,Thời trang,10,2034000,Hoàn thành,Hà Nội,20340000,6,2025-06
